timestamp,mac_address,ssid,freq,signal,vendor_name,guessed_name,first_seen,last_seen,seen_count,num_disconnects,avg_connection_duration,mobility_score,heat_score
2025-04-10T16:17:19.902516+00:00,8C,:42\:75\:C3\:D3\:D9\,5220 MHz,100,Unknown Vendor,Unknown Device,2025-04-10T16:16:58.405778+00:00,2025-04-10T16:17:19.902516+00:00,2,0,5.05,0,0.333
2025-04-10T16:17:19.902516+00:00,8E,:42\:75\:C3\:D3\:D9\,5220 MHz,100,Unknown Vendor,Unknown Device,2025-04-10T16:16:58.405778+00:00,2025-04-10T16:17:19.902516+00:00,2,0,5.05,0,0.333
2025-04-10T16:17:19.902516+00:00,8D,Xfinity Mobile:42\:75\:C3\:D3\:D9\,5220 MHz,100,Unknown Vendor,Unknown Device,2025-04-10T16:16:58.405778+00:00,2025-04-10T16:17:19.902516+00:00,2,0,5.05,0,0.333
2025-04-10T16:17:19.902516+00:00,8B,xfinitywifi:42\:75\:C3\:D3\:D9\,5220 MHz,100,Unknown Vendor,Unknown Device,2025-04-10T16:16:58.405778+00:00,2025-04-10T16:17:19.902516+00:00,2,0,5.05,0,0.333
2025-04-10T16:17:19.902516+00:00,A4,:72\:13\:01\:28\:7A\,2462 MHz,90,Unknown Vendor,Unknown Device,2025-04-10T16:16:58.405778+00:00,2025-04-10T16:17:19.902516+00:00,2,0,5.05,0,0.333
2025-04-10T16:17:19.902516+00:00,A6,:72\:13\:01\:28\:7A\,2462 MHz,89,Unknown Vendor,Unknown Device,2025-04-10T16:16:58.405778+00:00,2025-04-10T16:17:19.902516+00:00,2,0,5.05,0,0.333
2025-04-10T16:17:19.902516+00:00,A2,:72\:13\:01\:28\:7A\,2462 MHz,89,Unknown Vendor,Unknown Device,2025-04-10T16:16:58.405778+00:00,2025-04-10T16:17:19.902516+00:00,2,0,5.05,0,0.333
2025-04-10T16:17:19.902516+00:00,CC,:8E\:76\:3F\:D1\:07\,2412 MHz,85,Unknown Vendor,Unknown Device,2025-04-10T16:16:58.405778+00:00,2025-04-10T16:17:19.902516+00:00,4,0,2.52,0,0.2
2025-04-10T16:17:19.902516+00:00,CC,:96\:76\:3F\:D1\:07\,2412 MHz,80,Unknown Vendor,Unknown Device,2025-04-10T16:16:58.405778+00:00,2025-04-10T16:17:19.902516+00:00,5,0,2.02,0,0.167
2025-04-10T16:17:19.902516+00:00,A8,:22\:3E\:A4\:0B\:AF\,2412 MHz,79,Unknown Vendor,Unknown Device,2025-04-10T16:16:58.405778+00:00,2025-04-10T16:17:19.902516+00:00,2,0,5.05,0,0.333
2025-04-10T16:17:19.902516+00:00,C9,:5C\:76\:95\:2F\:01\,2462 MHz,79,Unknown Vendor,Unknown Device,2025-04-10T16:16:58.405778+00:00,2025-04-10T16:17:19.902516+00:00,2,0,5.05,0,0.333
2025-04-10T16:17:19.902516+00:00,C6,Endless:5C\:76\:95\:2F\:01\,2462 MHz,79,Unknown Vendor,Unknown Device,2025-04-10T16:16:58.405778+00:00,2025-04-10T16:17:19.902516+00:00,5,0,2.02,0,0.167
